text,label,char_length,word_count,text_clean,intent
"How long does a transfer from a UK account take? I just made one and it doesn't seem to be working, wondering if everything is okay",9,131,26,how long does a transfer from a uk account take i just made one and it doesn't seem to be working wondering if everything is okay,Missing Money
"I transferred a payment a couple days ago and it shows done, but it has not been received.  Could you please help me?",8,117,24,i transferred a payment a couple days ago and it shows done but it has not been received could you please help me,Transfer Delay
I just made a transfer from France 2 days ago. It has not yet reached my bank. Is it possible it takes longer because it was an international transfer?,9,151,29,i just made a transfer from france 2 days ago it has not yet reached my bank is it possible it takes longer because it was an international transfer,Missing Money
Why am I being charged a hidden fee?,0,36,8,why am i being charged a hidden fee,Card Fee Charge
Why has transferring money resulted in a charge?,7,48,8,why has transferring money resulted in a charge,Transfer Fee
Is there a charge for cash withdrawals? I always thought it was free.,4,69,13,is there a charge for cash withdrawals i always thought it was free,Cash Withdrawal Charge
Why was the price higher when I paid with my card?,0,50,11,why was the price higher when i paid with my card,Card Fee Charge
"I didn't get as much cash as I asked for from the ATM, why?",3,59,14,i didn't get as much cash as i asked for from the atm why,ATM Partial Withdrawal
"I did a transfer to my account, but it hasn't shown up",9,54,12,i did a transfer to my account but it hasn't shown up,Missing Money
How do I know which payments I make will have additional fees? Where can I find this information online?,0,104,19,how do i know which payments i make will have additional fees where can i find this information online,Card Fee Charge
I've been charged more than once for the same transaction,5,57,10,i've been charged more than once for the same transaction,Duplicate Transaction
Why hasn't my recipient received their money?,8,45,7,why hasn't my recipient received their money,Transfer Delay
ATM apparently not working?  Couldn't access funds in my account?,6,65,11,atm apparently not working couldn't access funds in my account,Declined Withdrawal
The ATM keeps declining my Transaction . I tried two different ATMs already Would you please check if everything is okay with my account?,6,137,24,the atm keeps declining my transaction i tried two different atms already would you please check if everything is okay with my account,Declined Withdrawal
After transfering some money my balance hasn't changed.,9,55,8,after transfering some money my balance hasn't changed,Missing Money
"The ATM charged me an extra fee, Why?",4,37,8,the atm charged me an extra fee why,Cash Withdrawal Charge
My account balance has not updated since I deposited a cheque recently.,2,71,12,my account balance has not updated since i deposited a cheque recently,Deposit Delay
My account seems a bit off and getting weird charges.,5,53,10,my account seems a bit off and getting weird charges,Duplicate Transaction
"A cheque deposit hasn't posted to my account, when will my balance update?",2,74,13,a cheque deposit hasn't posted to my account when will my balance update,Deposit Delay
Hey there's a fee for a transfer on my account.  Why?!,7,54,12,hey there's a fee for a transfer on my account why,Transfer Fee
There was an extra charge when I used my card,0,45,10,there was an extra charge when i used my card,Card Fee Charge
The ATM did not give me as much cash as I requested.,3,52,12,the atm did not give me as much cash as i requested,ATM Partial Withdrawal
I don't recognize the direct debit payment on my account.,1,57,10,i don't recognize the direct debit payment on my account,Fraud / Disputed Payment
Why was I charged extra using my card?,0,38,8,why was i charged extra using my card,Card Fee Charge
How come I can see an extra charge for my transfer?,7,51,11,how come i can see an extra charge for my transfer,Transfer Fee
There's a payment showing in the app today even though I have not used my card at all. I want a refund.,1,103,22,there's a payment showing in the app today even though i have not used my card at all i want a refund,Fraud / Disputed Payment
There is a payment that I was charged two times for.,5,52,11,there is a payment that i was charged two times for,Duplicate Transaction
What is the fee charged for using my card?,0,42,9,what is the fee charged for using my card,Card Fee Charge
How long does it take for an international transfer into my account?,9,68,12,how long does it take for an international transfer into my account,Missing Money
Why was my transfer charged fees?,7,33,6,why was my transfer charged fees,Transfer Fee
There is a debit paymet that I don't recognize.,1,47,9,there is a debit paymet that i don't recognize,Fraud / Disputed Payment
"If I found an error in my account for a transaction I didn't make, how long to I have to dispute it?",1,100,22,if i found an error in my account for a transaction i didn't make how long to i have to dispute it,Fraud / Disputed Payment
"I put my check in the bank, but I haven't gotten my cash yet?",2,61,14,i put my check in the bank but i haven't gotten my cash yet,Deposit Delay
to cash withdrawals charge me?,4,30,5,to cash withdrawals charge me,Cash Withdrawal Charge
who charged my card,7,19,4,who charged my card,Transfer Fee
"Although I transferred some money, it has not as of yet, arrived.",9,65,12,although i transferred some money it has not as of yet arrived,Missing Money
I found a charge for a direct debit that was not made by me.,1,60,14,i found a charge for a direct debit that was not made by me,Fraud / Disputed Payment
Why did I get charged a fee for my card payment?,0,48,11,why did i get charged a fee for my card payment,Card Fee Charge
There's a duplicate charge on my account?,5,41,7,there's a duplicate charge on my account,Duplicate Transaction
The machine gave me the wrong amount of cash.,3,45,9,the machine gave me the wrong amount of cash,ATM Partial Withdrawal
Why is my cash deposit not in my account?,2,41,9,why is my cash deposit not in my account,Deposit Delay
Why did I get a fee from the ATM?,4,33,9,why did i get a fee from the atm,Cash Withdrawal Charge
"i've waited 2 days for a transfer to reach a retailers account, am i going to have to wait longer.",8,98,20,i've waited 2 days for a transfer to reach a retailers account am i going to have to wait longer,Transfer Delay
"I shouldn't have been charged but I see a fee, why?",0,51,11,i shouldn't have been charged but i see a fee why,Card Fee Charge
I did a transfer to my account but it doesn't show up,9,53,12,i did a transfer to my account but it doesn't show up,Missing Money
I have been charged a fee that I didn't know about. Why have you charged me extra for card payments?,0,100,20,i have been charged a fee that i didn't know about why have you charged me extra for card payments,Card Fee Charge
What is this extra fee that I got when I used my card to pay?,0,61,15,what is this extra fee that i got when i used my card to pay,Card Fee Charge
I just found a payment from a while back in my account that I didn't make.  Can I still dispute it even though it was a couple of months ago?,1,141,31,i just found a payment from a while back in my account that i didn't make can i still dispute it even though it was a couple of months ago,Fraud / Disputed Payment
Why was I charged a fee when I withdrew money?,4,46,10,why was i charged a fee when i withdrew money,Cash Withdrawal Charge
"I took out money, and didn't get all of it.",3,43,10,i took out money and didn't get all of it,ATM Partial Withdrawal
Hello. I checked my transactions and saw I was double charged on my card for a restaurant visit. I would like to get my money back.,5,131,26,hello i checked my transactions and saw i was double charged on my card for a restaurant visit i would like to get my money back,Duplicate Transaction
I tried to transfer some money and it hasn't done it yet - what's going on?,8,75,16,i tried to transfer some money and it hasn't done it yet what's going on,Transfer Delay
How long do I have  to wait for my transaction to be completed?,8,63,14,how long do i have to wait for my transaction to be completed,Transfer Delay
I made a cash deposit a few days ago and it's still not reflected in my account. Do you know what might have happened?,2,118,24,i made a cash deposit a few days ago and it's still not reflected in my account do you know what might have happened,Deposit Delay
"I withdrew money from an ATM today, and now my account is showing a different amount than what I withdrew. I checked the amount the ATM gave me, and it looks like it gave me the wrong amount of money. What is the best thin for me to do to get this fixed?",3,254,53,i withdrew money from an atm today and now my account is showing a different amount than what i withdrew i checked the amount the atm gave me and it looks like it gave me the wrong amount of money what is the best thin for me to do to get this fixed,ATM Partial Withdrawal
Please delete the duplicate payment that was made to my account. One payment is still pending and I do not want to pay twice.,5,125,24,please delete the duplicate payment that was made to my account one payment is still pending and i do not want to pay twice,Duplicate Transaction
Why was my cash withdrawal declined by the ATM?,6,47,9,why was my cash withdrawal declined by the atm,Declined Withdrawal
I just got $20 when I tried to get $100,3,39,10,i just got 20 when i tried to get 100,ATM Partial Withdrawal
I made a transfer and was charged extra. Why?,7,45,9,i made a transfer and was charged extra why,Transfer Fee
Why am I being charged for transferring money?,7,46,8,why am i being charged for transferring money,Transfer Fee
"I made a bank transfer from my UK account today, but it's not showing.  Can you check status?",9,93,19,i made a bank transfer from my uk account today but it's not showing can you check status,Missing Money
Where is the money I put in the bank?,2,37,9,where is the money i put in the bank,Deposit Delay
This Direct Debit payment may not be right.,1,43,8,this direct debit payment may not be right,Fraud / Disputed Payment
"Hello,  I am a college student who I recently attended my high school reunion at a local restaurant. I paid with my credit card and now my transaction history reflects a second charge of the seemingly same payment. What could be the reason for this?  Is there any way to have the fraudulent  payment credited back onto my card?",5,327,62,hello i am a college student who i recently attended my high school reunion at a local restaurant i paid with my credit card and now my transaction history reflects a second charge of the seemingly same payment what could be the reason for this is there any way to have the fraudulent payment credited back onto my card,Duplicate Transaction
Why was I declined at the ATM today when I was trying to make a withdraw?,6,73,16,why was i declined at the atm today when i was trying to make a withdraw,Declined Withdrawal
Why hasn't my transaction arrived?,8,34,5,why hasn't my transaction arrived,Transfer Delay
I transferred some money a couple days ago but haven't received it yet. How long should I expect to wait?,9,105,20,i transferred some money a couple days ago but haven't received it yet how long should i expect to wait,Missing Money
I was charged twice for the same purchase!,5,42,8,i was charged twice for the same purchase,Duplicate Transaction
"I just took some cash out of a cash machine in Heathrow airport because I wanted to buy some new sunglasses for my holiday but you've added a fee to the withdrawal, what is this?",4,178,35,i just took some cash out of a cash machine in heathrow airport because i wanted to buy some new sunglasses for my holiday but you've added a fee to the withdrawal what is this,Cash Withdrawal Charge
How long to UK transfers usually take? I made a transfer but it didn't pop up in my history yet. I just want to make sure it went through.,9,138,29,how long to uk transfers usually take i made a transfer but it didn't pop up in my history yet i just want to make sure it went through,Missing Money
Next time maybe let people know that buying things from another country costs extra. I used my card to purchase an item from another country and I was charged for the item and also an extra fee it looks like. I wasnt aware of this and I think I should get a refund.,7,265,53,next time maybe let people know that buying things from another country costs extra i used my card to purchase an item from another country and i was charged for the item and also an extra fee it looks like i wasnt aware of this and i think i should get a refund,Transfer Fee
I withdrew $100 but only received $20,3,37,7,i withdrew 100 but only received 20,ATM Partial Withdrawal
Why was an extra charge added when I used my card?,0,50,11,why was an extra charge added when i used my card,Card Fee Charge
How was I charged extra when I used my card to pay?,0,51,12,how was i charged extra when i used my card to pay,Card Fee Charge
"There was a transaction from two weeks ago from a business that I don't know. I'm fairly certain it wasn't me who made it, but is it an option to trace it to confirm?",1,166,34,there was a transaction from two weeks ago from a business that i don't know i'm fairly certain it wasn't me who made it but is it an option to trace it to confirm,Fraud / Disputed Payment
how long does it take for a transfer to arrive,8,46,10,how long does it take for a transfer to arrive,Transfer Delay
I recently transferred money to my account when will it show up?,9,64,12,i recently transferred money to my account when will it show up,Missing Money
I have been charged a fee for paying with card,0,46,10,i have been charged a fee for paying with card,Card Fee Charge
"The day before yesterday, I performed a transfer which was within this country. It still hasn't gone through. Can you check on that? The account number is definitely correct, as I've checked and double checked.",8,210,35,the day before yesterday i performed a transfer which was within this country it still hasn't gone through can you check on that the account number is definitely correct as i've checked and double checked,Transfer Delay
I have noticed that my account was double charged for a couple of items this week. Please review and refund the double charged items back.,5,138,25,i have noticed that my account was double charged for a couple of items this week please review and refund the double charged items back,Duplicate Transaction
I had cash transferred but the balance did not change.,9,54,10,i had cash transferred but the balance did not change,Missing Money
I checked my account and see that funds were deducted from a seller I didn't approve of. Can you help me understand?,1,116,22,i checked my account and see that funds were deducted from a seller i didn't approve of can you help me understand,Fraud / Disputed Payment
I didn't make this direct debit transaction,1,43,7,i didn't make this direct debit transaction,Fraud / Disputed Payment
When I was transferring money I was charged extra why?,7,54,10,when i was transferring money i was charged extra why,Transfer Fee
Why is there a charge on my account for taking out cash?,4,56,12,why is there a charge on my account for taking out cash,Cash Withdrawal Charge
There is a strange charge on my debit statement,1,47,9,there is a strange charge on my debit statement,Fraud / Disputed Payment
Will I be charged for transfers?,7,32,6,will i be charged for transfers,Transfer Fee
So what items  actually come  with  extra  fees,0,47,12,so what items actually come with extra fees,Card Fee Charge
Why was I charged a fee for withdrawing money off my card?,4,58,12,why was i charged a fee for withdrawing money off my card,Cash Withdrawal Charge
How come I got to pay to get my money from the ATM?,4,51,13,how come i got to pay to get my money from the atm,Cash Withdrawal Charge
My balance was not updated with my checque or cash deposit.,2,59,11,my balance was not updated with my checque or cash deposit,Deposit Delay
I just deposited cash to my account and can't find it!,2,54,11,i just deposited cash to my account and can't find it,Deposit Delay
Is it free to transfer money or is there a fee?,7,47,11,is it free to transfer money or is there a fee,Transfer Fee
Please help!  There was an extra fee when I got cash.,4,53,12,please help there was an extra fee when i got cash,Cash Withdrawal Charge
Please check to see if the band transfer I made a while ago from my UK account has safely arrived.,9,98,20,please check to see if the band transfer i made a while ago from my uk account has safely arrived,Missing Money
I could not get the cash I wanted,3,33,8,i could not get the cash i wanted,ATM Partial Withdrawal
I'm getting concerned here.  I sent a friend some money and she isn't seeing it.  What's going on?,8,98,20,i'm getting concerned here i sent a friend some money and she isn't seeing it what's going on,Transfer Delay
"I noticed a fee, while banking abroad, that seems different than any I have been charged before. What does this fee mean?",7,121,22,i noticed a fee while banking abroad that seems different than any i have been charged before what does this fee mean,Transfer Fee
"On my app I can see that a direct debit payment that I didn't do, appears.",1,74,16,on my app i can see that a direct debit payment that i didn't do appears,Fraud / Disputed Payment
Why do I have to pay extra for using my card?,0,45,11,why do i have to pay extra for using my card,Card Fee Charge
ATM only gave me $20 instead of $100,3,36,8,atm only gave me 20 instead of 100,ATM Partial Withdrawal
Why would I be charged a fee for card payment?,0,46,10,why would i be charged a fee for card payment,Card Fee Charge
"I made a deposit a couple of days back it's, as of yet, not gone in! It would be ideal if you assist me with this",2,113,26,i made a deposit a couple of days back it's as of yet not gone in it would be ideal if you assist me with this,Deposit Delay
"There is a direct debit charge that I don't recognize, what can I do?",1,69,14,there is a direct debit charge that i don't recognize what can i do,Fraud / Disputed Payment
I made a transfer and am still waiting.,9,39,8,i made a transfer and am still waiting,Missing Money
How can the recipient see my money transaction?,8,47,8,how can the recipient see my money transaction,Transfer Delay
I made a bank transfer but it doesn't seem to have gone through?,9,64,13,i made a bank transfer but it doesn't seem to have gone through,Missing Money
Why hasn't my friend's transaction arrive yet?,8,46,7,why hasn't my friend's transaction arrive yet,Transfer Delay
A direct debit payment that I didn't authorise shows up in my app.,1,66,13,a direct debit payment that i didn't authorise shows up in my app,Fraud / Disputed Payment
Why is there a charged fee for debit or credit card payment?,0,60,12,why is there a charged fee for debit or credit card payment,Card Fee Charge
The ATM didn't give me enough money! I asked for more than it gave. What do I do?,3,81,18,the atm didn't give me enough money i asked for more than it gave what do i do,ATM Partial Withdrawal
Is there a way for you to find out why my account was deducted from a seller when I didn't approve of it?,1,105,23,is there a way for you to find out why my account was deducted from a seller when i didn't approve of it,Fraud / Disputed Payment
"Help, the ATM didn't give me all the money I requested",3,54,11,help the atm didn't give me all the money i requested,ATM Partial Withdrawal
Why have I been charged a fee for cash withdrawal?,4,50,10,why have i been charged a fee for cash withdrawal,Cash Withdrawal Charge
Do I get charged for withdrawals?,4,33,6,do i get charged for withdrawals,Cash Withdrawal Charge
How long does it take to process cheque deposits?,2,49,9,how long does it take to process cheque deposits,Deposit Delay
When will my transfer process?,9,30,5,when will my transfer process,Missing Money
The app is showing a direct debit transaction that I did not perform,1,68,13,the app is showing a direct debit transaction that i did not perform,Fraud / Disputed Payment
Balance hasn't been updated following a cheque or cash deposit,2,62,10,balance hasn't been updated following a cheque or cash deposit,Deposit Delay
I noticed a different charge while I was taking my money out.,4,61,12,i noticed a different charge while i was taking my money out,Cash Withdrawal Charge
why does the app show a direct debit payment that I did not authorize,1,69,14,why does the app show a direct debit payment that i did not authorize,Fraud / Disputed Payment
I made a transfer a few hours ago from a UK banking account.  I do not yet see the transfer.  Please check on this for me.,9,122,28,i made a transfer a few hours ago from a uk banking account i do not yet see the transfer please check on this for me,Missing Money
Help!  In the app there is a direct debit that I don't remember.,1,64,14,help in the app there is a direct debit that i don't remember,Fraud / Disputed Payment
I noticed a charge for a transfer.  Why is this?  Is it because I did an international transfer?,7,96,20,i noticed a charge for a transfer why is this is it because i did an international transfer,Transfer Fee
I saw a fee on my app from one of my payments and I wasn't sure where it came from. Is there a way you can tell me when there's an additional fee for my payments?,0,162,36,i saw a fee on my app from one of my payments and i wasn't sure where it came from is there a way you can tell me when there's an additional fee for my payments,Card Fee Charge
Why was my ATM transaction cancelled?,6,37,6,why was my atm transaction cancelled,Declined Withdrawal
I made a cash deposit to my account but i don't see it,2,54,13,i made a cash deposit to my account but i don't see it,Deposit Delay
Should I be seeing a fee applied for my money transfer?,7,55,11,should i be seeing a fee applied for my money transfer,Transfer Fee
"One of my charges was declined, but the second one went through.  But I notice on my App that one of them has gone through, and the other one is still pending.  Please ensure that only one charge is processed. Thanks",5,216,43,one of my charges was declined but the second one went through but i notice on my app that one of them has gone through and the other one is still pending please ensure that only one charge is processed thanks,Duplicate Transaction
"I just noticed that I supposedly made a payment to a seller a while back. The problem is, I don't recognize the seller. There must be a way to see who it is or track the payment. Can you do that, because I don't remember this transaction?",1,238,47,i just noticed that i supposedly made a payment to a seller a while back the problem is i don't recognize the seller there must be a way to see who it is or track the payment can you do that because i don't remember this transaction,Fraud / Disputed Payment
I used my card and there was a fee,0,34,9,i used my card and there was a fee,Card Fee Charge
why was i charged a fee to transfer,7,35,8,why was i charged a fee to transfer,Transfer Fee
I was charged a fee for using my card. Can I check that in any way? It seems like there are occasions that I am charge for fees. Can you elaborate this?,0,152,32,i was charged a fee for using my card can i check that in any way it seems like there are occasions that i am charge for fees can you elaborate this,Card Fee Charge
I have a payment that shows twice,5,33,7,i have a payment that shows twice,Duplicate Transaction
Why did I get a fee for getting cash?,4,37,9,why did i get a fee for getting cash,Cash Withdrawal Charge
"Hi! I'm a university student studying abroad and I noticed that when I was trying to cross-reference my budget for this month that there were extra fees I was not expecting. Why is that? I've had this account for years and I haven't had any trouble so far, it might not even be on your all's end since I'm still new to international travel and finance, but I wanted to double check in case a mistake was made!",7,409,78,hi i'm a university student studying abroad and i noticed that when i was trying to cross reference my budget for this month that there were extra fees i was not expecting why is that i've had this account for years and i haven't had any trouble so far it might not even be on your all's end since i'm still new to international travel and finance but i wanted to double check in case a mistake was made,Transfer Fee
How long will it take to receive my money from my transfer transaction?,8,71,13,how long will it take to receive my money from my transfer transaction,Transfer Delay
"I just recently got a new beach condo in Bora Bora, and to furnish it I used this account a lot from overseas. It's upsetting, being a long-time customer of yours, that I saw extra fees on my account from my currency transfer. Is this what I should expect from you in the future?",7,279,54,i just recently got a new beach condo in bora bora and to furnish it i used this account a lot from overseas it's upsetting being a long time customer of yours that i saw extra fees on my account from my currency transfer is this what i should expect from you in the future,Transfer Fee
I shouldn't be charged any fee for transferring .,7,49,9,i shouldn't be charged any fee for transferring,Transfer Fee
I made a cash deposit and the balance wasn't updated.,2,53,10,i made a cash deposit and the balance wasn't updated,Deposit Delay
The ATM keeps declining my card. I tried at a couple different ATMs. Can you tell me if there's a problem with my account?,6,122,24,the atm keeps declining my card i tried at a couple different atms can you tell me if there's a problem with my account,Declined Withdrawal
There was an extra fee when I was at the ATM.  Why?,4,51,13,there was an extra fee when i was at the atm why,Cash Withdrawal Charge
Please tell me what this direct debit in my statement is,1,56,11,please tell me what this direct debit in my statement is,Fraud / Disputed Payment
"There is a fee for a transfer, please explain that to me.",7,57,12,there is a fee for a transfer please explain that to me,Transfer Fee
Why is there a fee for cash withdrawal?,4,39,8,why is there a fee for cash withdrawal,Cash Withdrawal Charge
I have duplicate charges for the same transaction,5,49,8,i have duplicate charges for the same transaction,Duplicate Transaction
Why am I seeing a direct debit thats not mine?,1,46,10,why am i seeing a direct debit thats not mine,Fraud / Disputed Payment
I sent a cheque a few days ago and i noticed that no money has been put on my account. Can you please tell me the situation of my account?,2,138,30,i sent a cheque a few days ago and i noticed that no money has been put on my account can you please tell me the situation of my account,Deposit Delay
My money transfer has not arrived.,8,34,6,my money transfer has not arrived,Transfer Delay
I needed $100 but all it gave me was $20.,3,41,10,i needed 100 but all it gave me was 20,ATM Partial Withdrawal
The app is showing a direct debit payment that I never made,1,59,12,the app is showing a direct debit payment that i never made,Fraud / Disputed Payment
"I sent some money to somebody a couple of hours ago, and they still have yet to receive it.  They really need the money, how much longer are they going to have to wait?",8,168,35,i sent some money to somebody a couple of hours ago and they still have yet to receive it they really need the money how much longer are they going to have to wait,Transfer Delay
I made a transfer but my balance hasn't been updated,9,52,10,i made a transfer but my balance hasn't been updated,Missing Money
I use my card internationally to manage payments and I just noticed that you are adding additional fees.  Why?  I am a good customer and this has me thinking about leaving.,7,172,33,i use my card internationally to manage payments and i just noticed that you are adding additional fees why i am a good customer and this has me thinking about leaving,Transfer Fee
Why did you charge a fee when I withdrew from an ATM?,4,53,12,why did you charge a fee when i withdrew from an atm,Cash Withdrawal Charge
I tried to withdraw cash from your ATM but my transaction was cancelled.,6,72,13,i tried to withdraw cash from your atm but my transaction was cancelled,Declined Withdrawal
Why did they take more money out then I withdrawed?,4,51,10,why did they take more money out then i withdrawed,Cash Withdrawal Charge
There was an extra charge when I made a transfer.,7,49,10,there was an extra charge when i made a transfer,Transfer Fee
Balance is not up to date.,9,26,6,balance is not up to date,Missing Money
I paid with my card so so why was I charged a transaction fee?,0,62,14,i paid with my card so so why was i charged a transaction fee,Card Fee Charge
My transfer has not arrived.,8,28,5,my transfer has not arrived,Transfer Delay
I have been charged an extra fee when buying from your store. Why is this?,0,74,15,i have been charged an extra fee when buying from your store why is this,Card Fee Charge
Why is the ATM not allowing me to get cash?,6,43,10,why is the atm not allowing me to get cash,Declined Withdrawal
How can I tell if there will be a fee added to my payment or not?,0,65,16,how can i tell if there will be a fee added to my payment or not,Card Fee Charge
How can I get my money back for a payment i didnt make,1,54,13,how can i get my money back for a payment i didnt make,Fraud / Disputed Payment
The money has not yet been placed in recipients account.,8,56,10,the money has not yet been placed in recipients account,Transfer Delay
Why is my transfer not showing,9,30,6,why is my transfer not showing,Missing Money
Recipient has not received the money,8,36,6,recipient has not received the money,Transfer Delay
Why was a charged just for transferring?,7,40,7,why was a charged just for transferring,Transfer Fee
I dont see my reciept,8,21,5,i dont see my reciept,Transfer Delay
How did the extra charge on my card come in effect?,0,51,11,how did the extra charge on my card come in effect,Card Fee Charge
Why was I charged a fee on a cash withdrawal?,4,45,10,why was i charged a fee on a cash withdrawal,Cash Withdrawal Charge
Why was there an extra charge with the withdrawal of my money?,4,62,12,why was there an extra charge with the withdrawal of my money,Cash Withdrawal Charge
I do not understand what this particular direct debit is ?,1,58,11,i do not understand what this particular direct debit is,Fraud / Disputed Payment
"im so mad right now. theres several charges that I think my x boyfriend made on my card. the companys on the website wouldn't refund me my money, they told me to contact my bank. DO something please.",1,199,38,im so mad right now theres several charges that i think my x boyfriend made on my card the companys on the website wouldn't refund me my money they told me to contact my bank do something please,Fraud / Disputed Payment
Why are fees charged for cash withdrawals? I went to withdraw some money earlier today after shopping. There's a new fee that there.,4,132,23,why are fees charged for cash withdrawals i went to withdraw some money earlier today after shopping there's a new fee that there,Cash Withdrawal Charge
Will I always be charged a fee for using my card?,0,49,11,will i always be charged a fee for using my card,Card Fee Charge
I payed with the card and there was an extra fee?,0,49,11,i payed with the card and there was an extra fee,Card Fee Charge
Why is there a fee when I thought there would be no fees?,0,57,13,why is there a fee when i thought there would be no fees,Card Fee Charge
I paid with my card and was charged extra,0,41,9,i paid with my card and was charged extra,Card Fee Charge
I have used this account overseas recently. Has there been an increase in fees that I am unaware of?,7,100,19,i have used this account overseas recently has there been an increase in fees that i am unaware of,Transfer Fee
Are money transfers free?,7,25,4,are money transfers free,Transfer Fee
"I was charged a transfer fee, why is that?",7,42,9,i was charged a transfer fee why is that,Transfer Fee
Why was there an additional fee on the payment I just made? I don't usually have additional fees applied to my payments.,0,120,22,why was there an additional fee on the payment i just made i don't usually have additional fees applied to my payments,Card Fee Charge
I paid with card and was charged a fee that shouldn't be there!,0,63,13,i paid with card and was charged a fee that shouldn't be there,Card Fee Charge
What's the time frame normally for a UK account transfer? I just made one and it's not showing up anywhere. I want to be sure that everything is good.,9,150,29,what's the time frame normally for a uk account transfer i just made one and it's not showing up anywhere i want to be sure that everything is good,Missing Money
Why am I not able to withdraw cash from this ATM?,6,49,11,why am i not able to withdraw cash from this atm,Declined Withdrawal
Why did I get charged for a transfer?,7,37,8,why did i get charged for a transfer,Transfer Fee
I withdrew cash and was charged,4,31,6,i withdrew cash and was charged,Cash Withdrawal Charge
I thought that transfers are free. Why was I charged an extra fee?,7,66,13,i thought that transfers are free why was i charged an extra fee,Transfer Fee
I didn't realize that there were any fees for withdrawing money from my account--this has never happened to me before.  What exactly are the fees?,4,146,26,i didn't realize that there were any fees for withdrawing money from my account this has never happened to me before what exactly are the fees,Cash Withdrawal Charge
A few hours ago I made a bank transfer from my UK account but I don't see that it has arrived.   Can you check and see if all is ok please?,9,139,33,a few hours ago i made a bank transfer from my uk account but i don't see that it has arrived can you check and see if all is ok please,Missing Money
A false direct debit payment is showing in my app,1,49,10,a false direct debit payment is showing in my app,Fraud / Disputed Payment
I was wondering how I could have two charges for the same item happen more than once in a 7 day period. Is there anyway I could get this corrected asap.,5,152,31,i was wondering how i could have two charges for the same item happen more than once in a 7 day period is there anyway i could get this corrected asap,Duplicate Transaction
transaction failed?,8,19,2,transaction failed,Transfer Delay
I have a transaction showing up multiple times.,5,47,8,i have a transaction showing up multiple times,Duplicate Transaction
what is this charge on my card?,1,31,7,what is this charge on my card,Fraud / Disputed Payment
Why was I charged a fee for debit or credit card payment?,0,57,12,why was i charged a fee for debit or credit card payment,Card Fee Charge
I recently got charged twice from a restaurant that I was at this week and I would like for one of those payments to be removed from my account.,5,144,29,i recently got charged twice from a restaurant that i was at this week and i would like for one of those payments to be removed from my account,Duplicate Transaction
"I was charge a fee for my transfer, why?",7,40,9,i was charge a fee for my transfer why,Transfer Fee
When will my funds transfer?,8,28,5,when will my funds transfer,Transfer Delay
Tried using my ATM card earlier at one of your locations for the first time.  It didn't work.  What is going on?,6,112,24,tried using my atm card earlier at one of your locations for the first time it didn't work what is going on,Declined Withdrawal
Why did I get charged more for using my card?,0,45,10,why did i get charged more for using my card,Card Fee Charge
"I tried to get money out of the Notting Hill ATM earlier, but I wasn't able to get anything out. Is there a problem with my card? It's the first time I tried using it.",6,167,35,i tried to get money out of the notting hill atm earlier but i wasn't able to get anything out is there a problem with my card it's the first time i tried using it,Declined Withdrawal
How much money can I withdraw before fees? I noticed a fee on my card but I didn't think I had hit the limit of how much I could withdraw in a month.,4,149,33,how much money can i withdraw before fees i noticed a fee on my card but i didn't think i had hit the limit of how much i could withdraw in a month,Cash Withdrawal Charge
Is there a longer processing time for international bank transfers?,9,67,10,is there a longer processing time for international bank transfers,Missing Money
How can I dispute a direct debit transaction?,1,45,8,how can i dispute a direct debit transaction,Fraud / Disputed Payment
Duplicate transactions appear on my account,5,43,6,duplicate transactions appear on my account,Duplicate Transaction
How long until my friend receives my transaction?,8,49,8,how long until my friend receives my transaction,Transfer Delay
I sent you a cheque a few days ago and I noticed that nothing has happened yet. Can you tell me the status of my cheque please?,2,127,27,i sent you a cheque a few days ago and i noticed that nothing has happened yet can you tell me the status of my cheque please,Deposit Delay
I asked for cash but I did not receive all the funds,3,52,12,i asked for cash but i did not receive all the funds,ATM Partial Withdrawal
Why hasn't my balance been updated from the check deposit I made?,2,65,12,why hasn't my balance been updated from the check deposit i made,Deposit Delay
I paid with a card and there is an extra charge. Why?,0,53,12,i paid with a card and there is an extra charge why,Card Fee Charge
There's a Direct Debit payment in my account that I didn't make,1,63,12,there's a direct debit payment in my account that i didn't make,Fraud / Disputed Payment
"I completed an in country transfer a few days ago and was sure to check the account information several times since the transaction was completed, but the funds are still not available. What is the problem?",8,206,36,i completed an in country transfer a few days ago and was sure to check the account information several times since the transaction was completed but the funds are still not available what is the problem,Transfer Delay
"Hi, I was just checking over my card transactions and notice I was charged twice for a restaurant visit this week. Can you please remove one of these false charges from my account?",5,180,33,hi i was just checking over my card transactions and notice i was charged twice for a restaurant visit this week can you please remove one of these false charges from my account,Duplicate Transaction
"I need your help to check my account, please! My card keeps being declined at the ATM, and I've already tried two different ones!",6,129,24,i need your help to check my account please my card keeps being declined at the atm and i've already tried two different ones,Declined Withdrawal
"Please help me with the amount that i have withdrawn from the ATM today, the ATM has given me wrong sum of amount, and i could see that the app is displaying the greater amount than taken out.",3,192,38,please help me with the amount that i have withdrawn from the atm today the atm has given me wrong sum of amount and i could see that the app is displaying the greater amount than taken out,ATM Partial Withdrawal
